,x1,x2,f(x)
0,-8.5,-8.5,-0.32451190268482366
1,-8.16,-8.5,-0.26786790268482363
2,-7.82,-8.5,-0.2135359026848237
3,-7.48,-8.5,-0.16151590268482374
4,-7.14,-8.5,-0.11180790268482366
5,-6.8,-8.5,-0.06441190268482361
6,-6.46,-8.5,-0.01932790268482365
7,-6.119999999999999,-8.5,0.023444097315176438
8,-5.779999999999999,-8.5,0.06390409731517643
9,-5.4399999999999995,-8.5,0.1020520973151764
10,-5.1,-8.5,0.13788809731517637
11,-4.76,-8.5,0.17141209731517637
12,-4.42,-8.5,0.20262409731517636
13,-4.08,-8.5,0.23152409731517637
14,-3.7399999999999993,-8.5,0.2581120973151764
15,-3.3999999999999995,-8.5,0.2823880973151764
16,-3.0599999999999996,-8.5,0.3043520973151764
17,-2.7199999999999998,-8.5,0.3240040973151764
18,-2.38,-8.5,0.34134409731517634
19,-2.039999999999999,-8.5,0.3563720973151764
20,-1.6999999999999993,-8.5,0.3690880973151764
21,-1.3599999999999994,-8.5,0.3794920973151764
22,-1.0199999999999996,-8.5,0.3875840973151764
23,-0.6799999999999997,-8.5,0.39336409731517635
24,-0.33999999999999986,-8.5,0.3968320973151764
25,0.0,-8.5,0.39798809731517637
26,0.33999999999999986,-8.5,0.3968320973151764
27,0.6800000000000015,-8.5,0.39336409731517635
28,1.0200000000000014,-8.5,0.38758409731517635
29,1.3600000000000012,-8.5,0.37949209731517636
30,1.700000000000001,-8.5,0.36908809731517633
31,2.040000000000001,-8.5,0.35637209731517633
32,2.380000000000001,-8.5,0.34134409731517634
33,2.7200000000000006,-8.5,0.3240040973151763
34,3.0600000000000005,-8.5,0.3043520973151763
35,3.4000000000000004,-8.5,0.28238809731517633
36,3.74,-8.5,0.25811209731517637
37,4.08,-8.5,0.23152409731517637
38,4.420000000000002,-8.5,0.20262409731517622
39,4.760000000000002,-8.5,0.1714120973151762
40,5.100000000000001,-8.5,0.1378880973151762
41,5.440000000000001,-8.5,0.10205209731517623
42,5.780000000000001,-8.5,0.06390409731517621
43,6.120000000000001,-8.5,0.023444097315176216
44,6.460000000000001,-8.5,-0.01932790268482376
45,6.800000000000001,-8.5,-0.06441190268482372
46,7.140000000000001,-8.5,-0.11180790268482366
47,7.48,-8.5,-0.16151590268482374
48,7.82,-8.5,-0.2135359026848237
49,8.16,-8.5,-0.26786790268482363
50,8.5,-8.5,-0.32451190268482366
51,-8.5,-8.16,-0.023764384658991666
52,-8.16,-8.16,0.03287961534100836
53,-7.82,-8.16,0.0872116153410083
54,-7.48,-8.16,0.13923161534100825
55,-7.14,-8.16,0.18893961534100834
56,-6.8,-8.16,0.2363356153410084
57,-6.46,-8.16,0.28141961534100834
58,-6.119999999999999,-8.16,0.32419161534100843
59,-5.779999999999999,-8.16,0.36465161534100843
60,-5.4399999999999995,-8.16,0.4027996153410084
61,-5.1,-8.16,0.43863561534100837
62,-4.76,-8.16,0.47215961534100837
63,-4.42,-8.16,0.5033716153410084
64,-4.08,-8.16,0.5322716153410083
65,-3.7399999999999993,-8.16,0.5588596153410084
66,-3.3999999999999995,-8.16,0.5831356153410084
67,-3.0599999999999996,-8.16,0.6050996153410084
68,-2.7199999999999998,-8.16,0.6247516153410084
69,-2.38,-8.16,0.6420916153410083
70,-2.039999999999999,-8.16,0.6571196153410084
71,-1.6999999999999993,-8.16,0.6698356153410084
72,-1.3599999999999994,-8.16,0.6802396153410084
73,-1.0199999999999996,-8.16,0.6883316153410084
74,-0.6799999999999997,-8.16,0.6941116153410084
75,-0.33999999999999986,-8.16,0.6975796153410083
76,0.0,-8.16,0.6987356153410084
77,0.33999999999999986,-8.16,0.6975796153410083
78,0.6800000000000015,-8.16,0.6941116153410083
79,1.0200000000000014,-8.16,0.6883316153410083
80,1.3600000000000012,-8.16,0.6802396153410083
81,1.700000000000001,-8.16,0.6698356153410083
82,2.040000000000001,-8.16,0.6571196153410084
83,2.380000000000001,-8.16,0.6420916153410083
84,2.7200000000000006,-8.16,0.6247516153410083
85,3.0600000000000005,-8.16,0.6050996153410083
86,3.4000000000000004,-8.16,0.5831356153410083
87,3.74,-8.16,0.5588596153410084
88,4.08,-8.16,0.5322716153410083
89,4.420000000000002,-8.16,0.5033716153410082
90,4.760000000000002,-8.16,0.4721596153410082
91,5.100000000000001,-8.16,0.4386356153410082
92,5.440000000000001,-8.16,0.4027996153410082
93,5.780000000000001,-8.16,0.3646516153410082
94,6.120000000000001,-8.16,0.3241916153410082
95,6.460000000000001,-8.16,0.28141961534100823
96,6.800000000000001,-8.16,0.23633561534100828
97,7.140000000000001,-8.16,0.18893961534100834
98,7.48,-8.16,0.13923161534100825
99,7.82,-8.16,0.0872116153410083
100,8.16,-8.16,0.03287961534100836
101,8.5,-8.16,-0.023764384658991666
102,-8.5,-7.82,0.3114750942952421
103,-8.16,-7.82,0.36811909429524214
104,-7.82,-7.82,0.4224510942952421
105,-7.48,-7.82,0.47447109429524204
106,-7.14,-7.82,0.5241790942952421
107,-6.8,-7.82,0.5715750942952422
108,-6.46,-7.82,0.6166590942952421
109,-6.119999999999999,-7.82,0.6594310942952422
110,-5.779999999999999,-7.82,0.6998910942952422
111,-5.4399999999999995,-7.82,0.7380390942952422
112,-5.1,-7.82,0.7738750942952421
113,-4.76,-7.82,0.8073990942952421
114,-4.42,-7.82,0.8386110942952422
115,-4.08,-7.82,0.8675110942952422
116,-3.7399999999999993,-7.82,0.8940990942952423
117,-3.3999999999999995,-7.82,0.9183750942952422
118,-3.0599999999999996,-7.82,0.9403390942952422
119,-2.7199999999999998,-7.82,0.9599910942952421
120,-2.38,-7.82,0.9773310942952421
121,-2.039999999999999,-7.82,0.9923590942952422
122,-1.6999999999999993,-7.82,1.0050750942952422
123,-1.3599999999999994,-7.82,1.015479094295242
124,-1.0199999999999996,-7.82,1.023571094295242
125,-0.6799999999999997,-7.82,1.0293510942952422
126,-0.33999999999999986,-7.82,1.0328190942952422
127,0.0,-7.82,1.0339750942952421
128,0.33999999999999986,-7.82,1.0328190942952422
129,0.6800000000000015,-7.82,1.0293510942952422
130,1.0200000000000014,-7.82,1.023571094295242
131,1.3600000000000012,-7.82,1.015479094295242
132,1.700000000000001,-7.82,1.005075094295242
133,2.040000000000001,-7.82,0.9923590942952422
134,2.380000000000001,-7.82,0.9773310942952421
135,2.7200000000000006,-7.82,0.9599910942952421
136,3.0600000000000005,-7.82,0.9403390942952421
